Heading,Author,Ratings,Total Reviews
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"39,013"
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"43,645"
"Brown Bear, Brown Bear, What Do You See?","
                ",4.9 out of 5 stars,"27,697"
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"20,585"
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"16,011"
"See, Touch, Feel: A First Sensory Book",Roger Priddy,4.7 out of 5 stars,"5,041"
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"28,717"
Love You Forever,Robert Munsch,4.9 out of 5 stars,"33,582"
"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)",Dr. Seuss,4.9 out of 5 stars,"11,871"
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"53,210"
Chicka Chicka Boom Boom (Board Book),"
                ",4.9 out of 5 stars,"22,392"
Baby Sign Language Made Easy: 101 Signs to Start Communicating with Your Child Now,Lane Rebelo,4.8 out of 5 stars,"5,078"
The Tale of Peter Rabbit Story Board Book,Beatrix Potter,4.7 out of 5 stars,"4,285"
Where's Spot?,Eric Hill,4.9 out of 5 stars,"18,621"
Bright Baby Touch & Feel Baby Animals (Bright Baby Touch and Feel),Roger Priddy,4.8 out of 5 stars,"7,099"
The Giving Tree,Shel Silverstein,4.9 out of 5 stars,"18,598"
The Song of Achilles: A Novel,Madeline Miller,4.7 out of 5 stars,"16,133"
Green Eggs and Ham,Dr.Seuss,4.9 out of 5 stars,"11,383"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"36,326"
Guess How Much I Love You,"
                ",4.9 out of 5 stars,"2,602"
The Invisible Life of Addie LaRue,V. E. Schwab,4.6 out of 5 stars,"20,300"
Corduroy,Don Freeman,4.9 out of 5 stars,"9,622"
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"8,130"
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self","
                ",4.8 out of 5 stars,932
The Complete Cooking for Two Cookbook: 650 Recipes for Everything You'll Ever Want to Make (The Complete ATK Cookbook Series),America's Test Kitchen,4.7 out of 5 stars,"5,745"
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7 out of 5 stars,751
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"19,193"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","
                ",4.8 out of 5 stars,"27,031"
Magnolia Table,Joanna Gaines,4.8 out of 5 stars,"21,681"
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"15,279"
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"21,148"
Our Finest Hour (The Time Series) (Volume 1),Jennifer Millikin,4.5 out of 5 stars,263
The Lost Apothecary: A Novel,Sarah Penner,4.3 out of 5 stars,"2,219"
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss,4.9 out of 5 stars,"8,869"
Good Company: A Novel,Cynthia D'Aprix Sweeney,3.7 out of 5 stars,6
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.8 out of 5 stars,780
Little Green Box of Bright and Early Board Books (Bright & Early Board Books(TM)),"
                ",4.8 out of 5 stars,"2,568"
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"1,497"
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"2,064"
The Lord of the Rings Illustrated Edition,J.R.R. Tolkien,4.8 out of 5 stars,"13,200"
From Blood and Ash,Jennifer L. Armentrout,4.7 out of 5 stars,"14,143"
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),"
                ",4.7 out of 5 stars,"17,160"
"Green Witchcraft: A Practical Guide to Discovering the Magic of Plants, Herbs, Crystals, and Beyond",Paige Vanderbeck,4.8 out of 5 stars,"6,028"
"Good Night, Little Blue Truck",Alice Schertle,4.9 out of 5 stars,"9,939"
The Four Winds: A Novel,Kristin Hannah,4.6 out of 5 stars,"29,380"
The Wonderful Things You Will Be,Emily Winfield Martin,4.9 out of 5 stars,"14,664"
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"65,890"
It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"13,315"
"The Big Book of Organic Baby Food: Baby Purées, Finger Foods, and Toddler Meals For Every Stage",Stephanie Middleberg MS RD CDN,4.7 out of 5 stars,"7,393"
Klara and the Sun: A novel,Kazuo Ishiguro,4.4 out of 5 stars,"2,609"
